0 ;Diplomatisches Corps
A ;Augsburg (Bay)
AA ;Aalen Ostalbkreis (BaWü)
AB ;Aschaffenburg (Bay)
ABG ;Altenburger Land (Thür)
AC ;Aachen (NRW)
AE ;Auerbach (Sachs-)
AIC ;Aichach-Friedberg (Bay)
AK ;Altenkirchen/Westerwald (RhPf)
AM ;Amberg (Bay)
AN ;Ansbach (Bay)
ANA ;Annaberg (Sachs)
ANG ;Angermünde (Bran-)
ANK ;Anklam (MeVo-)
AÖ ;Altötting (Bay)
AP ;Apolda - Weimarer Land (Thür)
APD ;Apolda (Thür-)
ARN ;Arnstadt (Thür-)
ART ;Artern (Thür-)
AS ;Amberg-Sulzbach (Bay)
ASL ;Aschersleben (SaAn)
ASZ ;Aue-Schwarzenberg (Sachs)
AT ;Altentreptow (MeVo-)
AU ;Aue (Sachs-)
AUR ;Aurich (NiSa)
AW ;Bad Neuenahr-Ahrweiler (RhPf)
AZ ;Alzey-Worms (RhPf)
AZE ;Anhalt-Zerbst (SaAn)
B ;Berlin (Bln)
BA ;Bamberg (Bay)
BAD ;Baden-Baden (BaWü)
BAR ;Barnim (Bran)
BB ;Böblingen (BaWü)
BBG ;Bernburg (SaAn)
BBL ;Brandenburg Landesregierung und Landtag
BC ;Biberach/Riß (BaWü)
BD ;Bundestag, Bundesrat, Bundesregierung
BED ;Brand-Erbisdorf (Sachs-)
BEL ;Belzig (Bran-)
BER ;Bernau bei Berlin (Bran-)
BGL ;Berchtesgadener Land (Bay)
BI ;Bielefeld (NRW)
BIR ;Birkenfeld/Nahe und Idar-Oberstein (RhPf)
BIT ;Bitburg-Prüm (RhPf)
BIW ;Bischofswerda (Sachs-)
BL ;Zollernalbkreis / Balingen (BaWü)
BLK ;Burgenlandkreis (SaAn)
BM ;Erftkreis / Bergheim (NRW)
BN ;Bonn (NRW)
BNA ;Borna (Sachs-)
BO ;Bochum (NRW)
BÖ ;Bördekreis-Oschersleben (SaAn)
BOR ;Borken / Ahaus (NRW)
BOT ;Bottrop (NRW)
BP ;Bundespolizei
BRA ;Wesermarsch / Brake (NiSa)
BRB ;Brandenburg (Bran)
BRG ;Burg (SaAn-)
BS ;Braunschweig (NiSa)
BSK ;Beeskow (Bran-)
BT ;Bayreuth (Bay)
BTF ;Bitterfeld (SaAn)
BÜS ;Büsingen am Hochrhein (BaWü)
BÜZ ;Bützow (MeVo-)
BW ;Bundes-Wasser- und Schiffahrtsverwaltung
BWL ;Baden-Württemberg Landesregierung und Landtag
BYL ;Bayern Landesregierung und Landtag
BZ ;Bautzen (Sachs)
C ;Chemnitz (Sachs)
CA ;Calau (Bran-)
CB ;Cottbus (Bran)
CE ;Celle (NiSa)
CHA ;Cham/Oberpfalz (Bay)
CLP ;Cloppenburg (NiSa)
CO ;Coburg (Bay)
COC ;Cochem-Zell/Mosel (RhPf)
COE ;Coesfeld/Westfalen (NRW)
CUX ;Cuxhaven (NiSa)
CW ;Calw (BaWü)
D ;Düsseldorf (NRW)
DA ;Darmstadt-Dieburg (Hess)
DAH ;Dachau (Bay)
DAN ;Lüchow-Dannenberg (NiSa)
DAU ;Daun (Eifel) (RhPf)
DB ;Deutsche Bahn
DBR ;Bad Doberan (MeVo)
DD ;Dresden (Sachs)
DE ;Dessau (SaAn)
DEG ;Deggendorf (Bay)
DEL ;Delmenhorst (NiSa)
DGF ;Dingolfing-Landau (Bay)
DH ;Diepholz-Syke (NiSa)
DL ;Döbeln (Sachs)
DLG ;Dillingen/Donau (Bay)
DM ;Demmin (MeVo)
DN ;Düren (NRW)
DO ;Dortmund (NRW)
DON ;Donau-Ries / Donauwörth (Bay)
DS ;Dahme-Spreewald (Bran-)
DU ;Duisburg (NRW)
DÜW ;Bad Dürkheim / Neustadt/Weinstraße (RhPf)
DW ;Dippoldiswalde-Weißeritzkreis (Sachs)
DZ ;Delitzsch (Sachs)
E ;Essen (NRW)
EA ;Eisenach (Thür)
EB ;Eilenburg (Sachs-)
EBE ;Ebersberg (Bay)
ED ;Erding (Bay)
EE ;Elbe-Elster (Bran)
EF ;Erfurt (Thür)
EH ;Eisenhüttenstadt (Bran-)
EI ;Eichstätt (Bay)
EIC ;Eichsfeld (Thür)
EIL ;Eisleben (SaAn-)
EIS ;Eisenberg (Thür-)
EL ;Emsland / Meppen (NiSa)
EM ;Emmendingen (BaWü)
EMD ;Emden (NiSa)
EMS ;Rhein-Lahn-Kreis / Bad Ems (RhPf)
EN ;Ennepe-Ruhr-Kreis / Schwelm (NRW)
ER ;Erlangen/Stadt (Bay)
ERB ;Odenwaldkreis / Erbach (Hess)
ERH ;Erlangen-Höchstadt (Bay)
ES ;Esslingen/Neckar (BaWü)
ESA ;Eisenach (Thür-)
ESW ;Werra-Meißner-Kreis / Eschwege (Hess)
EU ;Euskirchen (NRW)
EW ;Eberswalde (Bran-)
F ;Frankfurt/Main (Hess)
FB ;Wetteraukreis / Friedberg (Hess)
FD ;Fulda (Hess)
FDS ;Freudenstadt (BaWü)
FF ;Frankfurt/Oder (Bran)
FFB ;Fürstenfeldbruck (Bay)
FG ;Freiberg/Sachsen (Sachs)
FI ;Finsterwalde (Bran-)
FL ;Flensburg (SlHo)
FLÖ ;Flöha (Sachs-)
FN ;Bodenseekreis / Friedrichshafen (BaWü)
FO ;Forchheim (Bay)
FOR ;Forst (Bran-)
FR ;Freiburg/Breisgau (BaWü)
FRG ;Freyung-Grafenau (Bay)
FRI ;Friesland / Jever (NiSa)
FRW ;Bad Freienwalde (Bran-)
FS ;Freising (Bay)
FT ;Frankenthal/Pfalz (RhPf)
FTL ;Freital (Sachs-)
FÜ ;Fürth (Bay)
FW ;Fürstenwalde (Bran-)
G ;Gera (Thür)
GA ;Gardelegen (SaAn-)
GAP ;Garmisch-Partenkirchen (Bay)
GC ;Glauchau - Chemnitzer Land (Sachs)
GDB ;Gadebusch (MeVo-)
GE ;Gelsenkirchen (NRW)
GER ;Germersheim (RhPf)
GF ;Gifhorn (NiSa)
GG ;Groß-Gerau (Hess)
GHA ;Geithain (Sachs-)
GHC ;Gräfenhainichen (SaAn-)
GI ;Gießen (Hess)
GL ;Rheinisch-Bergischer Kreis / Bergisch Gladbach (NRW)
GM ;Oberbergischer Kreis / Gummersbach (NRW)
GMN ;Grimmen (MeVo-)
GNT ;Genthin (SaAn-)
GÖ ;Göttingen (NiSa)
GP ;Göppingen (BaWü)
GR ;Görlitz (Sachs)
GRH ;Grossenhain (Sachs-)
GRM ;Grimma (Sachs-)
GRS ;Gransee (Bran-)
GRZ ;Greiz (Thür)
GS ;Goslar (NiSa)
GT ;Gütersloh / Rheda-Wiedenbrück (NRW)
GTH ;Gotha (Thür)
GÜ ;Güstrow (MeVo)
GUB ;Guben (Bran-)
GVM ;Grevesmühlen (MeVo-)
GW ;Greifswald/Landkreis (MeVo-)
GZ ;Günzburg (Bay)
H ;Hannover (NiSa)
HA ;Hagen/Westfalen (NRW)
HAL ;Halle/Saale (SaAn)
HAM ;Hamm/Westfalen (NRW)
HAS ;Haßberge / Haßfurt (Bay)
HB ;Hansestadt Bremen und Bremerhaven (Bre)
HBN ;Hildburghausen (Thür)
HBS ;Halberstadt (SaAn)
HC ;Hainichen (Sachs-)
HD ;Rhein-Neckar-Kreis und Heidelberg (BaWü)
HDH ;Heidenheim/Brenz (BaWü)
HDL ;Haldensleben (SaAn-)
HE ;Helmstedt (NiSa)
HEF ;Bad Hersfeld-Rotenburg (Hess)
HEI ;Dithmarschen / Heide/Holstein (SlHo)
HEL ;Hessen Landesregierung und Landtag
HER ;Herne (NRW)
HET ;Hettstedt (SaAn-)
HF ;Herford / Kirchlengern (NRW)
HG ;Hochtaunuskreis / Bad Homburg v.d.H. (Hess)
HGN ;Hagenow (MeVo-)
HGW ;Hansestadt Greifswald (MeVo)
HH ;Hansestadt Hamburg (Hbg)
HHM ;Hohenmölsen (SaAn-)
HI ;Hildesheim (NiSa)
HIG ;Heiligenstadt (Thür-)
HL ;Hansestadt Lübeck (SlHo)
HM ;Hameln-Pyrmont (NiSa)
HN ;Heilbronn/Neckar (BaWü)
HO ;Hof/Saale (Bay)
HOL ;Holzminden (NiSa)
HOM ;Saar-Pfalz-Kreis / Homburg/Saar (Saar)
HOT ;Hohenstein-Ernstthal (Sachs-)
HP ;Bergstraße / Heppenheim (Hess)
HR ;Schwalm-Eder-Kreis / Homberg (Hess)
HRO ;Hansestadt Rostock (MeVo)
HS ;Heinsberg (NRW)
HSK ;Hochsauerlandkreis / Meschede (NRW)
HST ;Hansestadt Stralsund (MeVo)
HU ;Hanau (Hess)
HV ;Havelberg (SaAn-)
HVL ;Havelland (Bran)
HWI ;Hansestadt Wismar (MeVo)
HX ;Höxter (NRW)
HY ;Hoyerswerda (Sachs)
HZ ;Herzberg (Bran-)
IGB ;St. Ingbert (Saar)
IK ;Ilm-Kreis (Thür)
IL ;Ilmenau (Thür-)
IN ;Ingolstadt/Donau (Bay)
IZ ;Itzehoe (SlHo)
J ;Jena (Thür)
JB ;Jüterbog (Bran-)
JE ;Jessen (SaAn-)
JL ;Jerichower Land (SaAn)
K ;Köln (NRW)
KA ;Karlsruhe (BaWü)
KB ;Waldeck-Frankenberg / Korbach (Hess)
KC ;Kronach (Bay)
KE ;Kempten/Allgäu (Bay)
KEH ;Kelheim (Bay)
KF ;Kaufbeuren (Bay)
KG ;Bad Kissingen (Bay)
KH ;Bad Kreuznach (RhPf)
KI ;Kiel (SlHo)
KIB ;Donnersberg-Kreis / Kirchheimbolanden (RhPf)
KL ;Kaiserslautern (RhPf)
KLE ;Kleve (NRW)
KLZ ;Klötze (SaAn-)
KM ;Kamenz (Sachs)
KN ;Konstanz (BaWü)
KO ;Koblenz (RhPf)
KÖT ;Köthen (SaAn)
KR ;Krefeld (NRW)
KS ;Kassel (Hess)
KT ;Kitzingen (Bay)
KU ;Kulmbach (Bay)
KÜN ;Hohenlohe-Kreis / Künzelsau (BaWü)
KUS ;Kusel (RhPf)
KW ;Königs-Wusterhausen (Bran-)
KY ;Kyritz (Bran-)
KYF ;Kyffhäuserkreis (Thür)
L ;Leipzig (Sachs)
LA ;Landshut (Bay)
LAU ;Nürnberger Land / Lauf/Pegnitz (Bay)
LB ;Ludwigsburg (BaWü)
LBS ;Lobenstein (Thür-)
LBZ ;Lübz (MeVo-)
LC ;Luckau (Sachs-)
LD ;Landau/Pfalz (RhPf)
LDK ;Lahn-Dill-Kreis / Wetzlar (Hess)
LDS ;Dahme-Spreewald (Bran)
LER ;Leer/Ostfriesland (NiSa)
LEV ;Leverkusen (NRW)
LG ;Lüneburg (NiSa)
LI ;Lindau/Bodensee (Bay)
LIB ;Bad Liebenwerda (Bran-)
LIF ;Lichtenfels (Bay)
LIP ;Lippe / Detmold (NRW)
LL ;Landsberg/Lech (Bay)
LM ;Limburg-Weilburg/Lahn (Hess)
LN ;Lübben (Bran-)
LÖ ;Lörrach (BaWü)
LÖB ;Löbau (Sachs-)
LOS ;Oder-Spree-Kreis Beeskow (Bran)
LSA ;Sachsen-Anhalt Landesregierung und Landtag
LSN ;Sachsen Landesregierung und Landtag
LSZ ;Bad Langensalza (Thür-)
LU ;Ludwigshafen/Rhein (RhPf)
LUK ;Luckenwalde (Bran-)
LWL ;Ludwigslust (MeVo)
M ;München (Bay)
MA ;Mannheim (BaWü)
MAB ;Marienberg (Sachs-)
MB ;Miesbach (Bay)
MC ;Malchin (MeVo-)
MD ;Magdeburg (SaAn)
ME ;Mettmann (NRW)
MEI ;Meißen (Sachs)
MEK ;Mittlerer Erzgebirgskreis (Sachs)
MER ;Merseburg (SaAn-)
MG ;Mönchengladbach (NRW)
MGN ;Meiningen (Thür-)
MH ;Mülheim/Ruhr (NRW)
MHL ;Mühlhausen (Thür-)
MI ;Minden-Lübbecke/Westfalen (NRW)
MIL ;Miltenberg (Bay)
MK ;Märkischer Kreis / Lüdenscheid (NRW)
MKK ;Main-Kinzig-Kreis (Hess)
ML ;Mansfelder Land (SaAn)
MM ;Memmingen (Bay)
MN ;Unterallgäu / Mindelheim (Bay)
MOL ;Märkisch-Oderland (Bran)
MOS ;Neckar-Odenwald-Kreis / Mosbach (BaWü)
MQ ;Merseburg-Querfurt (SaAn)
MR ;Marburg-Biedenkopf/Lahn (Hess)
MS ;Münster/Westfalen (NRW)
MSP ;Main-Spessart-Kreis / Karlstadt (Bay)
MST ;Mecklenburg-Strelitz (MeVo)
MTK ;Main-Taunus-Kreis / Hofheim (Hess)
MÜ ;Mühldorf am Inn (Bay)
MÜR ;Müritz (MeVo)
MVL ;Mecklenburg-Vorpommern Landesregierung und Landtag
MW ;Mittweida (Sachs)
MYK ;Mayen-Koblenz (RhPf)
MZ ;Mainz-Bingen und Mainz (RhPf)
MZG ;Merzig-Wadern (Saar)
N ;Nürnberg (Bay)
NAU ;Nauen (Bran-)
NB ;Neubrandenburg (MeVo)
ND ;Neuburg-Schrobenhausen/Donau (Bay)
NDH ;Nordhausen (Thür)
NE ;Neuss (NRW)
NEA ;Neustadt-Bad Windsheim/Aisch (Bay)
NEB ;Nebra/Unstrut (SaAn-)
NES ;Rhön-Grabfeld / Bad Neustadt/Saale (Bay)
NEW ;Neustadt/Waldnaab (Bay)
NF ;Nordfriesland / Husum (SlHo)
NH ;Neuhaus/Rennsteig (Thür-)
NI ;Nienburg/Weser (NiSa)
NK ;Neunkirchen/Saar (Saar)
NL ;Niedersachsen Landesregierung und Landtag
NM ;Neumarkt/Oberpfalz (Bay)
NMB ;Naumburg/Saale (SaAn-)
NMS ;Neumünster (SlHo)
NOH ;Grafschaft Bentheim / Nordhorn (NiSa)
NOL ;Niederschlesischer Oberlausitzkreis (Sachs)
NOM ;Northeim (NiSa)
NP ;Neuruppin (Bran-)
NR ;Neuwied/Rhein (RhPf)
NRW ;Nordrhein-Westfalen Landesregierung und Landtag
NU ;Neu-Ulm (Bay)
NVP ;Nordvorpommern (MeVo)
NW ;Neustadt/Weinstraße (RhPf)
NWM ;Nordwestmecklenburg (MeVo)
NY ;Niesky (Sachs-)
NZ ;Neustrelitz (MeVo-)
OA ;Oberallgäu / Sonthofen (Bay)
OAL ;Ostallgäu / Marktoberdorf (Bay)
OB ;Oberhausen/Rheinland (NRW)
OBG ;Osterburg (SaAn-)
OC ;Oschersleben (SaAn-)
OD ;Stormarn / Bad Oldesloe (SlHo)
OE ;Olpe (NRW)
OF ;Offenbach/Main (Hess)
OG ;Ortenaukreis / Offenburg (BaWü)
OH ;Ostholstein / Eutin (SlHo)
OHA ;Osterode/Harz (NiSa)
OHV ;Oranienburg Oberhavel (Bran)
OHZ ;Osterholz-Scharmbeck (NiSa)
OK ;Ohre-Kreis (SaAn)
OL ;Oldenburg (NiSa)
OPR ;Ostprignitz-Ruppin (Bran)
OR ;Oranienburg (Bran-)
OS ;Osnabrück (NiSa)
OSL ;Senftenberg - Oberspreewald-Lausitz (Bran)
OVL ;Obervogtland / Klingenthal und Ölsnitz (Sachs-)
OVP ;Ostvorpommern (MeVo)
OZ ;Oschatz (Sachs-)
P ;Potsdam (Bran)
PA ;Passau (Bay)
PAF ;Pfaffenhofen/Ilm (Bay)
PAN ;Rottal-Inn / Pfarrkirchen (Bay)
PB ;Paderborn (NRW)
PCH ;Parchim (MeVo)
PE ;Peine (NiSa)
PER ;Perleberg (Bran-)
PF ;Enzkreis und Pforzheim (BaWü)
PI ;Pinneberg (SlHo)
PIR ;Pirna - Sächsische Schweiz (Sachs)
PK ;Pritzwalk (Bran-)
PL ;Plauen (Sachs)
PLÖ ;Plön/Holstein (SlHo)
PM ;Belzig - Potsdam-Mittelmark (Bran)
PN ;Pössneck (Thür-)
PR ;Prignitz / Perleberg (Bran)
PS ;Pirmasens (RhPf)
PW ;Pasewalk (MeVo-)
PZ ;Prenzlau (Bran-)
QFT ;Querfurt (SaAn-)
QLB ;Quedlinburg (SaAn)
R ;Regensburg (Bay)
RA ;Rastatt (BaWü)
RC ;Reichenbach/Vogtland (Sachs-)
RD ;Rendsburg-Eckernförde (SlHo)
RDG ;Ribnitz-Damgarten (MeVo-)
RE ;Recklinghausen / Marl (NRW)
REG ;Regen (Bayr. Wald) (Bay)
RG ;Riesa-Großenhain (Sachs)
RH ;Roth/Rednitz (Bay)
RIE ;Riesa (Sachs-)
RL ;Rochlitz (Sachs-)
RM ;Röbel/Müritz (MeVo-)
RN ;Rathenow (Bran-)
RO ;Rosenheim (Bay)
ROS ;Rostock/Landkreis (MeVo-)
ROW ;Rotenburg/Wümme (NiSa)
RP ;Rhein-Pfalz-Kreis (RhPf)
RPL ;Rheinland-Pfalz Landesregierung und Landtag
RS ;Remscheid (NRW)
RSL ;Rosslau/Elbe (SaAn-)
RT ;Reutlingen (BaWü)
RU ;Rudolstadt (Thür-)
RÜD ;Rheingau-Taunus-Kreis / Rüdesheim (Hess)
RÜG ;Rügen / Bergen (MeVo)
RV ;Ravensburg (BaWü)
RW ;Rottweil (BaWü)
RZ ;Herzogtum Lauenburg / Ratzeburg (SlHo)
S ;Stuttgart (BaWü)
SAD ;Schwandorf (Bay)
SAL ;Saarland Landesregierung und Landtag
SAW ;Altmarkkreis - Salzwedel (SaAn)
SB ;Saarbrücken (Saar)
SBG ;Strasburg (MeVo-)
SBK ;Schönebeck/Elbe (SaAn)
SC ;Schwabach (Bay)
SCZ ;Schleiz (Thür-)
SDH ;Sondershausen (Thür-)
SDL ;Stendal (SaAn)
SDT ;Schwedt/Oder (Bran-)
SE ;Bad Segeberg (SlHo)
SEB ;Sebnitz (Sachs-)
SEE ;Seelow (Bran-)
SFA ;Soltau-Fallingbostel (NiSa)
SFB ;Senftenberg (Bran-)
SFT ;Stassfurt (SaAn-)
SG ;Solingen (NRW)
SGH ;Sangerhausen (SaAn)
SH ;Schleswig-Holstein Landesregierung und Landtag
SHA ;Schwäbisch Hall (BaWü)
SHG ;Schaumburg / Stadthagen (NiSa)
SHK ;Saale-Holzlandkreis (Thür)
SHL ;Suhl (Thür)
SI ;Siegen-Wittgenstein (NRW)
SIG ;Sigmaringen (BaWü)
SIM ;Rhein-Hunsrück-Kreis / Simmern (RhPf)
SK ;Saalkreis / Halle (SaAn)
SL ;Schleswig-Flensburg (SlHo)
SLF ;Saalfeld-Rudolstadt (Thür)
SLN ;Schmölln (Thür-)
SLS ;Saarlouis (Saar)
SLZ ;Bad Salzungen (Thür-)
SM ;Schmalkalden-Meiningen (Thür)
SN ;Schwerin (MeVo)
SO ;Soest (NRW)
SOK ;Saale-Orla-Kreis (Thür)
SÖM ;Sömmerda (Thür)
SON ;Sonneberg (Thür)
SP ;Speyer (RhPf)
SPB ;Spremberg (Bran-)
SPN ;Spree-Neiße (Bran)
SR ;Straubing-Bogen (Bay)
SRB ;Strausberg (Bran-)
SRO ;Stadtroda (Thür-)
ST ;Steinfurt (NRW)
STA ;Starnberg (Bay)
STB ;Sternberg (MeVo-)
STD ;Stade (NiSa)
STL ;Stollberg (Sachs)
SU ;Rhein-Sieg-Kreis / Siegburg (NRW)
SÜW ;Südl. Weinstraße / Landau (RhPf)
SW ;Schweinfurt (Bay)
SZ ;Salzgitter (NiSa)
SZB ;Schwarzenberg (Sachs-)
TBB ;Main-Tauber-Kreis / Tauberbischofsheim (BaWü)
TET ;Teterow (MeVo-)
TF ;Teltow-Fläming (Bran)
TG ;Torgau (Sachs-)
THL ;Thüringen Landesregierung und Landtag
THW ;Technisches Hilfswerk
TIR ;Tirschenreuth (Bay)
TO ;Torgau-Oschatz (Sachs)
TÖL ;Bad Tölz-Wolfratshausen (Bay)
TP ;Templin/Uckermark (Bran-)
TR ;Trier-Saarburg (RhPf)
TS ;Traunstein (Bay)
TÜ ;Tübingen (BaWü)
TUT ;Tuttlingen (BaWü)
UE ;Uelzen (NiSa)
UEM ;Ueckermünde (MeVo-)
UER ;Uecker-Randow (MeVo)
UH ;Unstrut-Hainich-Kreis (Thür)
UL ;Alb-Donau-Kreis und Ulm (BaWü)
UM ;Uckermark (Bran)
UN ;Unna/Westfalen (NRW)
V ;Vogtlandkreis - Plauen (Sachs)
VB ;Vogelsbergkreis / Lauterbach (Hess)
VEC ;Vechta (NiSa)
VER ;Verden/Aller (NiSa)
VIE ;Viersen (NRW)
VK ;Völklingen (Saar)
VS ;Schwarzwald-Baar-Kreis / Villingen-Schwenningen (BaWü)
W ;Wuppertal (NRW)
WAF ;Warendorf (NRW)
WAK ;Wartburgkreis (Thür)
WB ;Wittenberg (SaAn)
WBS ;Worbis (Thür-)
WDA ;Werdau (Sachs-)
WE ;Weimar (Thür)
WEN ;Weiden/Oberpfalz (Bay)
WES ;Wesel / Mörs (NRW)
WF ;Wolfenbüttel (NiSa)
WHV ;Wilhelmshaven (NiSa)
WI ;Wiesbaden (Hess)
WIL ;Bernkastel-Wittlich/Mosel (RhPf)
WIS ;Wismar/Landkreis (MeVo-)
WK ;Wittstock (Bran-)
WL ;Harburg / Winsen/Luhe (NiSa)
WLG ;Wolgast/Usedom (MeVo-)
WM ;Weilheim-Schongau/Oberbayern (Bay)
WMS ;Wolmirstedt (SaAn-)
WN ;Rems-Murr-Kreis / Waiblingen (BaWü)
WND ;St. Wendel (Saar)
WO ;Worms (RhPf)
WOB ;Wolfsburg (NiSa)
WR ;Wernigerode (SaAn)
WRN ;Waren/Müritz (MeVo-)
WSF ;Weißenfels (SaAn)
WST ;Ammerland / Westerstede (NiSa)
WSW ;Weißwasser (Sachs-)
WT ;Waldshut-Tiengen (BaWü)
WTM ;Wittmund (NiSa)
WÜ ;Würzburg (Bay)
WUG ;Weißenburg-Gunzenhausen (Bay)
WUN ;Wunsiedel (Bay)
WUR ;Wurzen (Sachs-)
WW ;Westerwald / Montabaur (RhPf)
WZL ;Wanzleben (SaAn-)
X ;Bundeswehr für NATO-Hauptquartiere
Y ;Bundeswehr
Z ;Zwickauer Land (Sachs)
ZE ;Zerbst (SaAn-)
ZI ;Sächsischer Oberlausitzkreis Zittau (Sachs)
ZP ;Zschopau (Sachs-)
ZR ;Zeulenroda (Thür-)
ZS ;Zossen (Bran-)
ZW ;Zweibrücken (RhPf)
ZZ ;Zeitz (SaAn-)
